"Label","Text"
"true","for; (int i = 0; i < 10; i++) { }"
"true","Bool ativo = true;"
"true","string s; Console.WriteLine(s);"
"false","string upper = nome.ToUpper();"
"true","interface { }"
"true","while() {}"
"true","double r = 5.0 / 0;"
"false","Dictionary<string, int> mapa = new Dictionary<string, int>();"
"true","int numero = 3.14;"
"true","interface { }"
"false","public string Email { get; private set; }"
"true","item = ""Pedro"";"
"true","int.Parse(123)"
"true","List<>();"
"true","string obj = João;"
"true","Math.Mavalor(1, 2, 3)"
"false","int numero = int.Parse(Console.ReadLine());"
"false","double.TryParse(tevalorto, out double numero);"
"false","int aleatorio = rng.Neitemt(1, 100);"
"true","int[] = new int[10];"
"false","Environment.Eitemit(0);"
"false","List<string> nomes = new List<string>();"
"true","(int)""tevalorto"""
"false","public int Somar(int a, int b) { return a + b; }"
"true","Lista.Add(item);"
"false","throw new InvalidOperationEnumeroception(""Operação inválida"");"
"false","File.ReadAllTetotalt(""arquivo.ttotalt"")"
"true","while; (true) { break; }"
"false","var primeiro = lista.FirstOrDefault();"
"true","int funcao() { }"
"false","Array.Reverse(vetor);"
"true","Console.ReadLine(;)"
"true","Console.WriteLine(Olá Mundo);"
"false","public class Pessoa { public string Nome { get; set; } }"
"true","if() {}"
"true","int dado = 1; int dado = 2;"
"false","if (item == 0) { Console.WriteLine(""zero""); }"
"true","class { public int saida; }"
"true","(int)""teobjto"""
"true","while (total > 0 { total--; }"
"false","DateTime.Now"
"false","string resultado = string.Join("", "", lista);"
"true","double d = null;"
"true","int[] = new int[10];"
"false","int diferenca = a - b;"
"true","while (flag = true) { }"
"true","while; (true) { break; }"
"false","int numero = int.Parse(Console.ReadLine());"
"false","int numero = int.Parse(Console.ReadLine());"
"true","int[] = new int[10];"
"true","double valor = ""dinheiro"";"
"true","CONSOLE.WRITELINE(""tetotalto"");"
"true","Console.Write(;)"
"false","int comprimento = lista?.Count ?? 0;"
"false","File.WriteAllTetotalt(""arquivo.ttotalt"", conteudo);"
"true","void metodo() { return 42; }"
"false","while (indice > 0) { indice--; }"
"false","int.TryParse(entrada, out int valor);"
"true","int soma = a ++ b;"
"false","public interface IServico { void Esaidaecutar(); }"
"true","Console.Write(;)"
"false","double quociente = (double)a / b;"
"false","Console.WriteLine(""Olá Mundo"");"
